year;month;casos;municipality_code_ibge
2015;1;592;3106200
2015;2;801;3106200
2015;3;3920;3106200
2015;4;8918;3106200
2015;5;10646;3106200
2015;6;3014;3106200
2015;7;882;3106200
2015;8;614;3106200
2015;9;466;3106200
2015;10;433;3106200
2015;11;1256;3106200
2015;12;3029;3106200
2016;1;22677;3106200
2016;2;52456;3106200
2016;3;54111;3106200
2016;4;42332;3106200
2016;5;15246;3106200
2016;6;1738;3106200
2016;7;697;3106200
2016;8;424;3106200
2016;9;425;3106200
2016;10;807;3106200
2016;11;932;3106200
2016;12;1822;3106200
2017;1;2847;3106200
2017;2;1758;3106200
2017;3;1531;3106200
2017;4;1225;3106200
2017;5;664;3106200
2017;6;440;3106200
2017;7;298;3106200
2017;8;342;3106200
2017;9;571;3106200
2017;10;966;3106200
2017;11;746;3106200
2017;12;841;3106200
2017;12;268;3106200
2018;1;1267;3106200
2018;2;975;3106200
2018;3;866;3106200
2018;4;771;3106200
2018;5;411;3106200
2018;6;338;3106200
2018;7;355;3106200
2018;8;275;3106200
2018;9;484;3106200
2018;10;511;3106200
2018;11;616;3106200
2018;12;807;3106200
2018;12;278;3106200
2019;1;1624;3106200
2019;2;3761;3106200
2019;3;22227;3106200
2019;4;50747;3106200
2019;5;50832;3106200
2019;6;16275;3106200
2019;7;1621;3106200
2019;8;636;3106200
2019;9;653;3106200
2019;10;523;3106200
2019;11;557;3106200
2019;12;727;3106200
2019;12;176;3106200
2020;1;1709;3106200
2020;2;2968;3106200
2020;3;5135;3106200
2020;4;2617;3106200
2020;5;2116;3106200
2020;6;1795;3106200
2020;7;1101;3106200
2020;8;815;3106200
2020;9;607;3106200
2020;10;571;3106200
2020;11;1106;3106200
2020;12;765;3106200
2021;1;1244;3106200
2021;2;1008;3106200
2021;3;1078;3106200
2021;4;747;3106200
2021;5;738;3106200
2021;6;405;3106200
2021;7;299;3106200
2021;8;414;3106200
2021;9;439;3106200
2021;10;453;3106200
2021;11;496;3106200
2021;12;347;3106200
2022;1;1187;3106200
2022;2;843;3106200
2022;3;1187;3106200
2022;4;1585;3106200
2022;5;1939;3106200
2022;6;949;3106200
2022;7;858;3106200
2022;8;474;3106200
2022;9;678;3106200
2022;10;1042;3106200
2022;11;964;3106200
2022;12;819;3106200
2023;1;3245;3106200
2023;2;5487;3106200
2023;3;12547;3106200
2023;4;20371;3106200
2023;5;10627;3106200
2023;6;3721;3106200
2023;7;1927;3106200
2023;8;1281;3106200
2023;9;1362;3106200
2023;10;1943;3106200
2023;11;1713;3106200
2023;12;1767;3106200
2023;12;3331;3106200
2024;1;40617;3106200
2024;2;103462;3106200
2024;3;122453;3106200
2024;4;43885;3106200
2024;5;14182;3106200
2024;6;4909;3106200
2024;7;1074;3106200
2024;8;984;3106200
2024;9;1519;3106200
2024;10;1426;3106200
2024;11;2473;3106200
2024;12;2498;3106200
2024;12;650;3106200
2025;1;4429;3106200
2025;2;5095;3106200
2025;3;5605;3106200
2025;4;3869;3106200
2025;5;2530;3106200
2025;6;1258;3106200
2025;7;797;3106200
2025;8;1028;3106200
2025;9;1027;3106200
2025;10;635;3106200
2025;11;20;3106200
2015;1;91;3118601
2015;2;224;3118601
2015;3;1551;3118601
2015;4;4139;3118601
2015;5;5943;3118601
2015;6;1609;3118601
2015;7;335;3118601
2015;8;102;3118601
2015;9;92;3118601
2015;10;72;3118601
2015;11;141;3118601
2015;12;348;3118601
2016;1;4463;3118601
2016;2;11848;3118601
2016;3;12922;3118601
2016;4;10607;3118601
2016;5;3350;3118601
2016;6;652;3118601
2016;7;174;3118601
2016;8;69;3118601
2016;9;52;3118601
2016;10;64;3118601
2016;11;50;3118601
2016;12;177;3118601
2017;1;241;3118601
2017;2;284;3118601
2017;3;317;3118601
2017;4;335;3118601
2017;5;164;3118601
2017;6;69;3118601
2017;7;54;3118601
2017;8;46;3118601
2017;9;62;3118601
2017;10;74;3118601
2017;11;110;3118601
2017;12;100;3118601
2017;12;25;3118601
2018;1;112;3118601
2018;2;74;3118601
2018;3;106;3118601
2018;4;104;3118601
2018;5;78;3118601
2018;6;68;3118601
2018;7;52;3118601
2018;8;32;3118601
2018;9;66;3118601
2018;10;73;3118601
2018;11;125;3118601
2018;12;173;3118601
2018;12;44;3118601
2019;1;487;3118601
2019;2;2631;3118601
2019;3;13534;3118601
2019;4;18865;3118601
2019;5;14309;3118601
2019;6;5321;3118601
2019;7;412;3118601
2019;8;478;3118601
2019;9;803;3118601
2019;10;302;3118601
2019;11;145;3118601
2019;12;71;3118601
2019;12;15;3118601
2020;1;256;3118601
2020;2;479;3118601
2020;3;807;3118601
2020;4;320;3118601
2020;5;290;3118601
2020;6;264;3118601
2020;7;187;3118601
2020;8;141;3118601
2020;9;113;3118601
2020;10;103;3118601
2020;11;166;3118601
2020;12;157;3118601
2021;1;143;3118601
2021;2;130;3118601
2021;3;155;3118601
2021;4;97;3118601
2021;5;107;3118601
2021;6;46;3118601
2021;7;45;3118601
2021;8;50;3118601
2021;9;62;3118601
2021;10;105;3118601
2021;11;58;3118601
2021;12;45;3118601
2022;1;258;3118601
2022;2;150;3118601
2022;3;205;3118601
2022;4;304;3118601
2022;5;426;3118601
2022;6;244;3118601
2022;7;156;3118601
2022;8;98;3118601
2022;9;107;3118601
2022;10;183;3118601
2022;11;160;3118601
2022;12;107;3118601
2023;1;476;3118601
2023;2;1084;3118601
2023;3;4611;3118601
2023;4;8312;3118601
2023;5;3688;3118601
2023;6;1292;3118601
2023;7;484;3118601
2023;8;235;3118601
2023;9;215;3118601
2023;10;425;3118601
2023;11;305;3118601
2023;12;263;3118601
2023;12;682;3118601
2024;1;10127;3118601
2024;2;32392;3118601
2024;3;37844;3118601
2024;4;13742;3118601
2024;5;3693;3118601
2024;6;1214;3118601
2024;7;289;3118601
2024;8;180;3118601
2024;9;310;3118601
2024;10;220;3118601
2024;11;493;3118601
2024;12;557;3118601
