municipality_code_ibge;municipality_name;year;month;dengue_cases;estimated_population;rainfall_mm;average_temperature;average_humidity
3106200;Belo Horizonte;2015;1;0;2415872;36.6;25.1;59.3
3106200;Belo Horizonte;2015;2;0;2415872;175.9;22.8;74.7
3106200;Belo Horizonte;2015;3;0;2415872;80.7;22.9;74.0
3106200;Belo Horizonte;2015;4;0;2415872;46.3;21.3;74.7
3106200;Belo Horizonte;2015;5;0;2415872;40.3;19.1;75.0
3106200;Belo Horizonte;2015;6;0;2415872;7.1;18.5;71.2
3106200;Belo Horizonte;2015;7;0;2415872;0.2;18.9;69.0
3106200;Belo Horizonte;2015;8;0;2415872;2.8;19.6;62.3
3106200;Belo Horizonte;2015;9;0;2415872;25.7;23.4;57.8
3106200;Belo Horizonte;2015;10;0;2415872;28.8;25.1;53.2
3106200;Belo Horizonte;2015;11;0;2415872;166.5;24.8;67.5
3106200;Belo Horizonte;2015;12;0;2415872;102.4;23.8;73.5
3106200;Belo Horizonte;2016;1;0;2415872;306.5;22.6;79.6
3106200;Belo Horizonte;2016;2;0;2415872;43.3;23.9;72.3
3106200;Belo Horizonte;2016;3;0;2415872;59.7;23.2;74.0
3106200;Belo Horizonte;2016;4;0;2415872;47.8;23.1;66.0
3106200;Belo Horizonte;2016;5;0;2415872;10.7;20.1;71.5
3106200;Belo Horizonte;2016;6;0;2415872;12.4;18.1;72.7
3106200;Belo Horizonte;2016;7;0;2415872;0.0;18.9;64.1
3106200;Belo Horizonte;2016;8;0;2415872;5.2;20.3;58.2
3106200;Belo Horizonte;2016;9;0;2415872;41.2;22.2;59.0
3106200;Belo Horizonte;2016;10;0;2415872;41.1;23.1;63.1
3106200;Belo Horizonte;2016;11;0;2415872;202.1;21.9;75.7
3106200;Belo Horizonte;2016;12;0;2415872;233.1;22.4;78.1
3106200;Belo Horizonte;2017;1;0;2415872;62.4;23.6;68.7
3106200;Belo Horizonte;2017;2;0;2415872;109.9;22.8;73.9
3106200;Belo Horizonte;2017;3;0;2415872;68.8;22.5;71.5
3106200;Belo Horizonte;2017;4;0;2415872;24.9;21.6;72.1
3106200;Belo Horizonte;2017;5;0;2415872;48.7;19.3;76.9
3106200;Belo Horizonte;2017;6;0;2415872;11.4;18.4;72.7
3106200;Belo Horizonte;2017;7;0;2415872;1.4;16.3;69.0
3106200;Belo Horizonte;2017;8;0;2415872;0.6;19.2;60.7
3106200;Belo Horizonte;2017;9;0;2415872;10.3;19.9;58.2
3106200;Belo Horizonte;2017;10;0;2415872;45.5;22.9;61.0
3106200;Belo Horizonte;2017;11;0;2415872;138.8;21.3;77.8
3106200;Belo Horizonte;2017;12;0;2415872;177.9;22.5;78.7
3106200;Belo Horizonte;2018;1;0;2415872;127.8;23.5;68.8
3106200;Belo Horizonte;2018;2;0;2415872;162.4;22.0;81.3
3106200;Belo Horizonte;2018;3;0;2415872;190.8;22.6;81.3
3106200;Belo Horizonte;2018;4;0;2415872;41.9;20.3;78.2
3106200;Belo Horizonte;2018;5;0;2415872;33.1;18.6;73.7
3106200;Belo Horizonte;2018;6;0;2415872;6.7;19.0;72.8
3106200;Belo Horizonte;2018;7;0;2415872;3.8;18.1;67.5
3106200;Belo Horizonte;2018;8;0;2415872;51.3;18.7;71.9
3106200;Belo Horizonte;2018;9;0;2415872;78.1;20.9;67.1
3106200;Belo Horizonte;2018;10;0;2415872;119.5;22.6;72.5
3106200;Belo Horizonte;2018;11;0;2415872;179.6;21.3;79.5
3106200;Belo Horizonte;2018;12;0;2415872;234.9;22.4;78.6
3106200;Belo Horizonte;2019;1;0;2415872;14.4;24.2;66.1
3106200;Belo Horizonte;2019;2;0;2415872;134.2;23.7;74.8
3106200;Belo Horizonte;2019;3;0;2415872;76.6;23.0;75.9
3106200;Belo Horizonte;2019;4;0;2415872;33.8;22.6;73.4
3106200;Belo Horizonte;2019;5;0;2415872;53.2;20.7;75.8
3106200;Belo Horizonte;2019;6;0;2415872;0.7;18.5;69.5
3106200;Belo Horizonte;2019;7;0;2415872;0.2;17.7;61.1
3106200;Belo Horizonte;2019;8;0;2415872;8.1;19.5;62.3
3106200;Belo Horizonte;2019;9;0;2415872;50.0;22.8;57.0
3106200;Belo Horizonte;2019;10;0;2415872;65.9;23.5;61.1
3106200;Belo Horizonte;2019;11;0;2415872;185.1;23.0;74.5
3106200;Belo Horizonte;2019;12;0;2415872;234.0;22.6;77.7
3106200;Belo Horizonte;2020;1;0;2415872;374.5;23.3;81.8
3106200;Belo Horizonte;2020;2;0;2415872;228.3;22.7;82.6
3106200;Belo Horizonte;2020;3;0;2415872;200.8;21.5;80.6
3106200;Belo Horizonte;2020;4;0;2415872;94.9;20.4;80.7
3106200;Belo Horizonte;2020;5;0;2415872;39.7;17.7;76.1
3106200;Belo Horizonte;2020;6;0;2415872;3.0;18.2;72.4
3106200;Belo Horizonte;2020;7;0;2415872;2.3;18.6;69.6
3106200;Belo Horizonte;2020;8;0;2415872;11.5;18.4;65.2
3106200;Belo Horizonte;2020;9;0;2415872;8.0;22.7;52.9
3106200;Belo Horizonte;2020;10;0;2415872;145.4;23.0;68.0
3106200;Belo Horizonte;2020;11;0;2415872;112.2;21.7;75.1
