id;year;month;municipality_code_ibge;municipality_name;dengue_cases;estimated_population;rainfall_mm;average_temperature;average_humidity
1;2015;1;3106200;Belo Horizonte;592;2415872;36.6;25.1;59.3
2;2015;2;3106200;Belo Horizonte;801;2415872;175.9;22.8;74.7
3;2015;3;3106200;Belo Horizonte;3920;2415872;80.7;22.9;74.0
4;2015;4;3106200;Belo Horizonte;8918;2415872;46.3;21.3;74.7
5;2015;5;3106200;Belo Horizonte;10646;2415872;40.3;19.1;75.0
6;2015;6;3106200;Belo Horizonte;3014;2415872;7.1;18.5;71.2
7;2015;7;3106200;Belo Horizonte;882;2415872;0.2;18.9;69.0
8;2015;8;3106200;Belo Horizonte;614;2415872;2.8;19.6;62.3
9;2015;9;3106200;Belo Horizonte;466;2415872;25.7;23.4;57.8
10;2015;10;3106200;Belo Horizonte;433;2415872;28.8;25.1;53.2
11;2015;11;3106200;Belo Horizonte;1256;2415872;166.5;24.8;67.5
12;2015;12;3106200;Belo Horizonte;3029;2415872;102.4;23.8;73.5
13;2016;1;3106200;Belo Horizonte;22677;2415872;306.5;22.6;79.6
14;2016;2;3106200;Belo Horizonte;52456;2415872;43.3;23.9;72.3
15;2016;3;3106200;Belo Horizonte;54111;2415872;59.7;23.2;74.0
16;2016;4;3106200;Belo Horizonte;42332;2415872;47.8;23.1;66.0
17;2016;5;3106200;Belo Horizonte;15246;2415872;10.7;20.1;71.5
18;2016;6;3106200;Belo Horizonte;1738;2415872;12.4;18.1;72.7
19;2016;7;3106200;Belo Horizonte;697;2415872;0.0;18.9;64.1
20;2016;8;3106200;Belo Horizonte;424;2415872;5.2;20.3;58.2
21;2016;9;3106200;Belo Horizonte;425;2415872;41.2;22.2;59.0
22;2016;10;3106200;Belo Horizonte;807;2415872;41.1;23.1;63.1
23;2016;11;3106200;Belo Horizonte;932;2415872;202.1;21.9;75.7
24;2016;12;3106200;Belo Horizonte;1822;2415872;233.1;22.4;78.1
25;2017;1;3106200;Belo Horizonte;2847;2415872;62.4;23.6;68.7
26;2017;2;3106200;Belo Horizonte;1758;2415872;109.9;22.8;73.9
27;2017;3;3106200;Belo Horizonte;1531;2415872;68.8;22.5;71.5
28;2017;4;3106200;Belo Horizonte;1225;2415872;24.9;21.6;72.1
29;2017;5;3106200;Belo Horizonte;664;2415872;48.7;19.3;76.9
30;2017;6;3106200;Belo Horizonte;440;2415872;11.4;18.4;72.7
31;2017;7;3106200;Belo Horizonte;298;2415872;1.4;16.3;69.0
32;2017;8;3106200;Belo Horizonte;342;2415872;0.6;19.2;60.7
33;2017;9;3106200;Belo Horizonte;571;2415872;10.3;19.9;58.2
34;2017;10;3106200;Belo Horizonte;966;2415872;45.5;22.9;61.0
35;2017;11;3106200;Belo Horizonte;746;2415872;138.8;21.3;77.8
36;2017;12;3106200;Belo Horizonte;841;2415872;177.9;22.5;78.7
37;2017;12;3106200;Belo Horizonte;268;2415872;177.9;22.5;78.7
38;2018;1;3106200;Belo Horizonte;1267;2415872;127.8;23.5;68.8
39;2018;2;3106200;Belo Horizonte;975;2415872;162.4;22.0;81.3
40;2018;3;3106200;Belo Horizonte;866;2415872;190.8;22.6;81.3
41;2018;4;3106200;Belo Horizonte;771;2415872;41.9;20.3;78.2
42;2018;5;3106200;Belo Horizonte;411;2415872;33.1;18.6;73.7
43;2018;6;3106200;Belo Horizonte;338;2415872;6.7;19.0;72.8
44;2018;7;3106200;Belo Horizonte;355;2415872;3.8;18.1;67.5
45;2018;8;3106200;Belo Horizonte;275;2415872;51.3;18.7;71.9
46;2018;9;3106200;Belo Horizonte;484;2415872;78.1;20.9;67.1
47;2018;10;3106200;Belo Horizonte;511;2415872;119.5;22.6;72.5
48;2018;11;3106200;Belo Horizonte;616;2415872;179.6;21.3;79.5
49;2018;12;3106200;Belo Horizonte;807;2415872;234.9;22.4;78.6
50;2018;12;3106200;Belo Horizonte;278;2415872;234.9;22.4;78.6
51;2019;1;3106200;Belo Horizonte;1624;2415872;14.4;24.2;66.1
52;2019;2;3106200;Belo Horizonte;3761;2415872;134.2;23.7;74.8
53;2019;3;3106200;Belo Horizonte;22227;2415872;76.6;23.0;75.9
54;2019;4;3106200;Belo Horizonte;50747;2415872;33.8;22.6;73.4
55;2019;5;3106200;Belo Horizonte;50832;2415872;53.2;20.7;75.8
56;2019;6;3106200;Belo Horizonte;16275;2415872;0.7;18.5;69.5
57;2019;7;3106200;Belo Horizonte;1621;2415872;0.2;17.7;61.1
58;2019;8;3106200;Belo Horizonte;636;2415872;8.1;19.5;62.3
59;2019;9;3106200;Belo Horizonte;653;2415872;50.0;22.8;57.0
60;2019;10;3106200;Belo Horizonte;523;2415872;65.9;23.5;61.1
61;2019;11;3106200;Belo Horizonte;557;2415872;185.1;23.0;74.5
62;2019;12;3106200;Belo Horizonte;727;2415872;234.0;22.6;77.7
63;2019;12;3106200;Belo Horizonte;176;2415872;234.0;22.6;77.7
64;2020;1;3106200;Belo Horizonte;1709;2415872;374.5;23.3;81.8
65;2020;2;3106200;Belo Horizonte;2968;2415872;228.3;22.7;82.6
66;2020;3;3106200;Belo Horizonte;5135;2415872;200.8;21.5;80.6
67;2020;4;3106200;Belo Horizonte;2617;2415872;94.9;20.4;80.7
68;2020;5;3106200;Belo Horizonte;2116;2415872;39.7;17.7;76.1
69;2020;6;3106200;Belo Horizonte;1795;2415872;3.0;18.2;72.4
70;2020;7;3106200;Belo Horizonte;1101;2415872;2.3;18.6;69.6
71;2020;8;3106200;Belo Horizonte;815;2415872;11.5;18.4;65.2
72;2020;9;3106200;Belo Horizonte;607;2415872;8.0;22.7;52.9
73;2020;10;3106200;Belo Horizonte;571;2415872;145.4;23.0;68.0
74;2020;11;3106200;Belo Horizonte;1106;2415872;112.2;21.7;75.1
75;2020;12;3106200;Belo Horizonte;765;2415872;177.8;22.7;76.5
76;2021;1;3106200;Belo Horizonte;1244;2415872;111.0;23.1;69.7
77;2021;2;3106200;Belo Horizonte;1008;2415872;266.8;22.0;81.1
78;2021;3;3106200;Belo Horizonte;1078;2415872;65.5;22.3;74.9
79;2021;4;3106200;Belo Horizonte;747;2415872;45.6;20.5;69.2
80;2021;5;3106200;Belo Horizonte;738;2415872;8.6;19.7;68.4
81;2021;6;3106200;Belo Horizonte;405;2415872;5.2;18.0;71.4
82;2021;7;3106200;Belo Horizonte;299;2415872;0.0;17.0;57.9
83;2021;8;3106200;Belo Horizonte;414;2415872;3.8;19.0;59.5
84;2021;9;3106200;Belo Horizonte;439;2415872;7.8;23.6;52.7
85;2021;10;3106200;Belo Horizonte;453;2415872;222.0;21.8;74.7
86;2021;11;3106200;Belo Horizonte;496;2415872;320.9;21.3;77.2
87;2021;12;3106200;Belo Horizonte;347;2415872;189.0;21.5;78.9
88;2022;1;3106200;Belo Horizonte;1187;2415872;370.5;22.2;80.0
89;2022;2;3106200;Belo Horizonte;843;2415872;331.8;21.7;84.4
90;2022;3;3106200;Belo Horizonte;1187;2415872;5.9;22.9;68.0
91;2022;4;3106200;Belo Horizonte;1585;2415872;34.0;21.9;68.6
92;2022;5;3106200;Belo Horizonte;1939;2415872;9.6;18.4;67.2
93;2022;6;3106200;Belo Horizonte;949;2415872;0.9;18.0;64.0
94;2022;7;3106200;Belo Horizonte;858;2415872;0.6;18.1;62.9
95;2022;8;3106200;Belo Horizonte;474;2415872;0.7;19.2;56.7
96;2022;9;3106200;Belo Horizonte;678;2415872;48.4;21.0;60.7
97;2022;10;3106200;Belo Horizonte;1042;2415872;108.3;22.7;66.3
98;2022;11;3106200;Belo Horizonte;964;2415872;193.2;20.6;75.0
99;2022;12;3106200;Belo Horizonte;819;2415872;307.4;21.3;81.7
100;2023;1;3106200;Belo Horizonte;3245;2415872;386.7;21.5;83.8
101;2023;2;3106200;Belo Horizonte;5487;2415872;69.4;22.9;75.9
102;2023;3;3106200;Belo Horizonte;12547;2415872;32.2;23.2;67.1
103;2023;4;3106200;Belo Horizonte;20371;2415872;57.1;21.3;73.7
104;2023;5;3106200;Belo Horizonte;10627;2415872;3.4;18.7;70.4
105;2023;6;3106200;Belo Horizonte;3721;2415872;11.4;17.2;71.0
106;2023;7;3106200;Belo Horizonte;1927;2415872;3.4;18.2;66.2
107;2023;8;3106200;Belo Horizonte;1281;2415872;24.8;20.0;64.3
108;2023;9;3106200;Belo Horizonte;1362;2415872;25.2;22.5;62.9
109;2023;10;3106200;Belo Horizonte;1943;2415872;159.0;23.9;70.8
110;2023;11;3106200;Belo Horizonte;1713;2415872;100.6;24.8;62.5
111;2023;12;3106200;Belo Horizonte;1767;2415872;135.1;23.9;72.5
112;2023;12;3106200;Belo Horizonte;3331;2415872;135.1;23.9;72.5
113;2024;1;3106200;Belo Horizonte;40617;2415872;260.0;23.1;81.6
114;2024;2;3106200;Belo Horizonte;103462;2415872;178.7;22.7;80.0
115;2024;3;3106200;Belo Horizonte;122453;2415872;96.0;23.4;78.6
116;2024;4;3106200;Belo Horizonte;43885;2415872;20.2;21.9;72.8
117;2024;5;3106200;Belo Horizonte;14182;2415872;1.3;20.8;68.8
