id;year;month;municipality_code_ibge;municipality_name;dengue_cases;chikungunya_cases;zika_cases;total_cases;estimated_population;rainfall_mm;average_humidity;average_temperature
1;2000.0;1.0;1100205;Porto Velho;0;0;0;0;203556.0;467.7;82.9;26.1
2;2000.0;1.0;1100452;Buritis;0;0;0;0;13246.0;165.3;77.6;25.4
3;2000.0;1.0;1200203;Cruzeiro do Sul;0;0;0;0;31869.0;331.1;83.9;25.9
4;2000.0;1.0;1200401;Rio Branco;0;0;0;0;148826.0;188.8;92.0;25.4
5;2000.0;1.0;1200609;Tarauacá;0;0;0;0;13618.0;194.6;89.6;
6;2000.0;1.0;1300409;Barcelos;0;0;0;0;5446.0;275.1;92.4;26.1
7;2000.0;1.0;1300607;Benjamin Constant;0;0;0;0;9094.0;201.0;90.8;25.5
8;2000.0;1.0;1301209;Coari;0;0;0;0;21305.0;322.5;87.0;26.0
9;2000.0;1.0;1301308;Codajás;0;0;0;0;6655.0;395.3;80.1;26.3
10;2000.0;1.0;1301407;Eirunepé;0;0;0;0;9680.0;324.6;90.3;26.0
11;2000.0;1.0;1301605;Fonte Boa;0;0;0;0;6053.0;120.0;90.3;26.3
12;2000.0;1.0;1301902;Itacoatiara;0;0;0;0;35124.0;237.8;88.2;25.7
13;2000.0;1.0;1302405;Lábrea;0;0;0;0;13474.0;183.9;88.1;25.8
14;2000.0;1.0;1302603;Manaus;0;0;0;0;738012.0;350.2;83.9;25.9
15;2000.0;1.0;1302702;Manicoré;0;0;0;0;14248.0;281.8;88.7;26.1
16;2000.0;1.0;1303403;Parintins;0;0;0;0;29973.0;397.8;87.1;26.4
17;2000.0;1.0;1304203;Tefé;0;0;0;0;21101.0;404.2;95.7;25.6
18;2000.0;1.0;1400100;Boa Vista;0;0;0;0;133020.0;45.4;77.1;27.5
19;2000.0;1.0;1400209;Caracaraí;0;0;0;0;8631.0;118.8;65.6;26.6
20;2000.0;1.0;1500602;Altamira;0;0;0;0;54274.0;488.8;84.3;25.9
21;2000.0;1.0;1501402;Belém;0;0;0;0;528989.0;411.9;88.3;26.2
22;2000.0;1.0;1501451;Belterra;0;0;0;0;7597.0;343.9;91.2;25.0
23;2000.0;1.0;1501808;Breves;0;0;0;0;28115.0;242.5;89.5;26.2
24;2000.0;1.0;1502103;Cametá;0;0;0;0;39905.0;325.2;87.7;26.6
25;2000.0;1.0;1502707;Conceição do Araguaia;0;0;0;0;19636.0;344.2;91.2;26.1
26;2000.0;1.0;1503606;Itaituba;0;0;0;0;46002.0;262.7;90.8;26.0
27;2000.0;1.0;1504208;Marabá;0;0;0;0;106660.0;136.8;80.9;26.5
28;2000.0;1.0;1504802;Monte Alegre;0;0;0;0;24608.0;253.8;65.3;25.8
29;2000.0;1.0;1505106;Óbidos;0;0;0;0;19117.0;508.1;89.1;25.6
30;2000.0;1.0;1505908;Porto de Moz;0;0;0;0;10520.0;367.0;90.3;26.3
31;2000.0;1.0;1507300;São Félix do Xingu;0;0;0;0;26484.0;;;
32;2000.0;1.0;1507904;Soure;0;0;0;0;9360.0;462.4;82.9;26.9
33;2000.0;1.0;1508035;Tracuateua;0;0;0;0;10705.0;229.0;87.0;26.0
34;2000.0;1.0;1508100;Tucuruí;0;0;0;0;34412.0;347.7;89.2;26.8
35;2000.0;1.0;1600105;Amapá;0;0;0;0;2579.0;;;
36;2000.0;1.0;1600303;Macapá;0;0;0;0;149531.0;309.6;83.9;26.5
37;2000.0;1.0;1702109;Araguaína;0;0;0;0;72039.0;372.4;87.2;24.8
38;2000.0;1.0;1707405;Esperantina;0;0;0;0;3213.0;89.8;81.7;26.4
39;2000.0;1.0;1709500;Gurupi;0;0;0;0;36801.0;;;
40;2000.0;1.0;1716505;Pedro Afonso;0;0;0;0;5847.0;200.3;85.5;25.7
41;2000.0;1.0;1716604;Peixe;0;0;0;0;5346.0;231.5;82.1;25.9
42;2000.0;1.0;1718204;Porto Nacional;0;0;0;0;29950.0;271.7;81.1;
43;2000.0;1.0;1720903;Taguatinga;0;0;0;0;6680.0;268.3;77.2;24.9
44;2000.0;1.0;1721000;Palmas;0;0;0;0;129424.0;288.3;81.8;25.7
45;2000.0;1.0;2100501;Alto Parnaíba;0;0;0;0;4381.0;280.8;89.7;25.6
46;2000.0;1.0;2101202;Bacabal;0;0;0;0;38964.0;308.3;85.4;
47;2000.0;1.0;2101400;Balsas;0;0;0;0;36996.0;220.9;83.0;25.5
48;2000.0;1.0;2101608;Barra do Corda;0;0;0;0;36839.0;175.0;84.9;25.5
49;2000.0;1.0;2102804;Carolina;0;0;0;0;9989.0;334.9;81.7;25.4
50;2000.0;1.0;2103000;Caxias;0;0;0;0;60143.0;243.0;79.8;27.2
51;2000.0;1.0;2103208;Chapadinha;0;0;0;0;31620.0;183.2;80.8;26.2
52;2000.0;1.0;2103505;Colinas;0;0;0;0;16331.0;240.1;83.4;25.9
53;2000.0;1.0;2105302;Imperatriz;0;0;0;0;110137.0;;;
54;2000.0;1.0;2111300;São Luís;0;0;0;0;406974.0;267.1;83.9;26.3
55;2000.0;1.0;2112407;Turiaçu;0;0;0;0;11177.0;268.4;84.9;26.4
56;2000.0;1.0;2114007;Zé Doca;0;0;0;0;16234.0;221.8;81.6;26.5
57;2000.0;1.0;2200202;Água Branca;0;0;0;0;7530.0;50.1;73.7;24.6
58;2000.0;1.0;2201903;Bom Jesus;0;0;0;0;12197.0;163.9;80.1;19.0
59;2000.0;1.0;2202505;Caracol;0;0;0;0;4510.0;95.8;77.0;23.9
60;2000.0;1.0;2203701;Esperantina;0;0;0;0;16255.0;89.8;81.7;26.4
61;2000.0;1.0;2203909;Floriano;0;0;0;0;26074.0;84.4;80.3;26.4
62;2000.0;1.0;2207702;Parnaíba;0;0;0;0;64580.0;168.0;82.5;26.3
63;2000.0;1.0;2207801;Paulistana;0;0;0;0;10470.0;133.1;83.7;26.3
64;2000.0;1.0;2208007;Picos;0;0;0;0;36224.0;122.6;72.2;26.6
65;2000.0;1.0;2208403;Piripiri;0;0;0;0;26741.0;238.1;77.6;26.0
66;2000.0;1.0;2210003;São João do Piauí;0;0;0;0;9739.0;210.0;78.0;25.9
67;2000.0;1.0;2211001;Teresina;0;0;0;0;355470.0;183.2;79.4;26.6
68;2000.0;1.0;2300200;Acaraú;0;0;0;0;26163.0;97.5;;27.1
69;2000.0;1.0;2301901;Barbalha;0;0;0;0;29531.0;158.7;76.1;25.4
70;2000.0;1.0;2302701;Campos Sales;0;0;0;0;12662.0;29.2;72.5;24.5
71;2000.0;1.0;2304103;Crateús;0;0;0;0;34293.0;85.1;74.5;25.7
72;2000.0;1.0;2304400;Fortaleza;0;0;0;0;1034611.0;246.9;80.4;26.9
73;2000.0;1.0;2305100;Guaramiranga;0;0;0;0;3389.0;254.3;88.3;20.8
74;2000.0;1.0;2305506;Iguatu;0;0;0;0;44117.0;144.9;77.7;26.1
75;2000.0;1.0;2307007;Jaguaruana;0;0;0;0;14412.0;36.5;72.8;28.0
76;2000.0;1.0;2307304;Juazeiro do Norte;0;0;0;0;113276.0;;;
77;2000.0;1.0;2308708;Morada Nova;0;0;0;0;28744.0;238.2;75.4;26.9
78;2000.0;1.0;2311306;Quixadá;0;0;0;0;36341.0;;;
