id;year;month;municipality_code_ibge;municipality_name;dengue_cases;estimated_population;rainfall_mm;average_humidity;average_temperature
1;2015;1;1100205;Porto Velho;14;203556;406.8;87.2;25.6
2;2015;1;1302603;Manaus;130;738012;303.7;82.8;26.8
3;2015;1;1501402;Belém;112;528989;503.2;85.9;26.6
4;2015;1;2111300;São Luís;126;406974;30.2;76.3;27.8
5;2015;1;2211001;Teresina;256;355470;69.2;64.3;27.9
6;2015;1;2304400;Fortaleza;1081;1034611;72.2;76.3;27.4
7;2015;1;2408102;Natal;45;337029;30.3;78.2;27.4
8;2015;1;2504009;Campina Grande;8;183901;13.8;74.0;24.2
9;2015;1;2507507;João Pessoa;248;377756;54.8;72.4;27.8
10;2015;1;2611606;Recife;1878;644213;65.4;71.4;26.9
11;2015;1;2704302;Maceió;219;403096;29.0;77.4;26.9
12;2015;1;2800308;Aracaju;190;267071;25.5;71.1;27.8
13;2015;1;2905701;Camaçari;15;177233;26.6;74.3;26.3
14;2015;1;2910800;Feira de Santana;80;288378;13.0;77.4;26.2
15;2015;1;2927408;Salvador;81;1212383;51.3;79.0;26.5
16;2015;1;3106200;Belo Horizonte;709;1027170;103.8;52.8;25.6
17;2015;1;3136702;Juiz de Fora;208;267747;145.8;66.6;24.2
18;2015;1;3143302;Montes Claros;22;180227;0.0;44.4;27.4
19;2015;1;3170206;Uberlândia;804;336870;460.4;73.8;23.3
20;2015;1;3304557;Rio de Janeiro;235;2920214;39.2;64.6;29.8
21;2015;1;3304904;São Gonçalo;68;413779;55.5;63.8;27.7
22;2015;1;3518800;Guarulhos;955;515164;158.8;73.7;21.9
23;2015;1;3552205;Sorocaba;3979;307419;143.6;76.5;26.2
24;2015;1;4106902;Curitiba;12;789846;180.5;76.1;22.9
25;2015;1;4113700;Londrina;152;247287;237.6;72.3;25.9
26;2015;1;4115200;Maringá;76;180117;236.0;73.1;26.1
27;2015;1;4205407;Florianópolis;5;285000;186.0;76.2;26.4
28;2015;1;4305108;Caxias do Sul;0;220438;168.6;77.9;22.2
29;2015;1;4314902;Porto Alegre;3;687679;160.4;75.5;25.5
30;2015;1;5002704;Campo Grande;352;392791;153.8;60.1;21.4
31;2015;1;5103403;Cuiabá;177;279657;270.9;73.3;27.6
32;2015;1;5208707;Goiânia;3085;655531;73.6;56.5;26.9
33;2015;1;5300108;Brasília;534;1172689;93.9;60.1;23.3
34;2015;2;1100205;Porto Velho;33;203556;406.8;87.2;25.6
35;2015;2;1302603;Manaus;111;738012;214.0;79.9;27.5
36;2015;2;1501402;Belém;120;528989;414.3;87.0;26.5
37;2015;2;2111300;São Luís;114;406974;90.7;81.3;27.4
38;2015;2;2211001;Teresina;329;355470;201.0;80.4;26.7
39;2015;2;2304400;Fortaleza;1172;1034611;144.6;79.2;27.5
40;2015;2;2408102;Natal;37;337029;77.7;79.9;27.8
41;2015;2;2504009;Campina Grande;6;183901;16.8;73.4;24.8
42;2015;2;2507507;João Pessoa;278;377756;40.7;73.7;28.4
43;2015;2;2611606;Recife;2041;644213;56.2;71.4;27.4
44;2015;2;2704302;Maceió;181;403096;108.5;82.3;26.4
45;2015;2;2800308;Aracaju;257;267071;38.4;72.6;27.6
46;2015;2;2905701;Camaçari;47;177233;26.6;74.3;26.3
47;2015;2;2910800;Feira de Santana;109;288378;97.5;76.8;26.4
48;2015;2;2927408;Salvador;78;1212383;89.6;81.8;26.8
49;2015;2;3106200;Belo Horizonte;731;1027170;263.8;66.3;23.7
50;2015;2;3136702;Juiz de Fora;219;267747;100.0;75.9;22.6
51;2015;2;3143302;Montes Claros;17;180227;95.7;61.4;25.4
52;2015;2;3170206;Uberlândia;1100;336870;460.4;73.8;23.3
53;2015;2;3304557;Rio de Janeiro;206;2920214;79.3;70.2;28.5
54;2015;2;3304904;São Gonçalo;111;413779;160.7;72.3;27.0
55;2015;2;3518800;Guarulhos;1849;515164;158.8;73.7;21.9
56;2015;2;3552205;Sorocaba;11945;307419;143.6;76.5;26.2
57;2015;2;4106902;Curitiba;30;789846;243.1;81.3;21.4
58;2015;2;4113700;Londrina;196;247287;187.4;81.1;24.1
59;2015;2;4115200;Maringá;115;180117;214.3;77.9;24.9
60;2015;2;4205407;Florianópolis;5;285000;204.9;79.3;25.6
61;2015;2;4305108;Caxias do Sul;0;220438;80.0;80.9;21.2
62;2015;2;4314902;Porto Alegre;6;687679;95.0;77.4;24.9
63;2015;2;5002704;Campo Grande;407;392791;153.8;60.1;21.4
64;2015;2;5103403;Cuiabá;223;279657;317.0;76.6;27.3
65;2015;2;5208707;Goiânia;2942;655531;225.2;70.2;24.8
66;2015;2;5300108;Brasília;647;1172689;127.0;69.8;22.0
67;2015;3;1100205;Porto Velho;21;203556;406.8;87.2;25.6
68;2015;3;1302603;Manaus;127;738012;373.7;85.1;26.8
69;2015;3;1501402;Belém;165;528989;540.3;88.6;26.3
70;2015;3;2111300;São Luís;265;406974;425.9;85.9;26.7
71;2015;3;2211001;Teresina;1117;355470;250.7;80.4;26.7
72;2015;3;2304400;Fortaleza;1837;1034611;377.7;83.4;26.9
73;2015;3;2408102;Natal;71;337029;317.0;82.2;27.1
74;2015;3;2504009;Campina Grande;13;183901;96.8;79.2;24.3
75;2015;3;2507507;João Pessoa;498;377756;406.6;76.5;27.8
76;2015;3;2611606;Recife;4070;644213;341.2;76.6;26.8
77;2015;3;2704302;Maceió;233;403096;58.6;80.0;27.0
78;2015;3;2800308;Aracaju;369;267071;44.4;71.9;27.8
79;2015;3;2905701;Camaçari;69;177233;26.6;74.3;26.3
80;2015;3;2910800;Feira de Santana;156;288378;25.4;76.9;26.4
81;2015;3;2927408;Salvador;137;1212383;31.3;79.7;27.2
82;2015;3;3106200;Belo Horizonte;1705;1027170;237.2;65.6;23.9
83;2015;3;3136702;Juiz de Fora;408;267747;167.2;81.2;21.7
84;2015;3;3143302;Montes Claros;19;180227;129.6;64.0;25.7
85;2015;3;3170206;Uberlândia;2306;336870;460.4;73.8;23.3
86;2015;3;3304557;Rio de Janeiro;434;2920214;158.3;77.4;26.9
87;2015;3;3304904;São Gonçalo;149;413779;396.5;80.0;26.6
88;2015;3;3518800;Guarulhos;5828;515164;158.8;73.7;21.9
89;2015;3;3552205;Sorocaba;14276;307419;143.6;82.8;23.2
90;2015;3;4106902;Curitiba;33;789846;193.7;82.9;20.3
91;2015;3;4113700;Londrina;341;247287;112.4;78.1;23.7
92;2015;3;4115200;Maringá;170;180117;307.2;73.4;24.5
93;2015;3;4205407;Florianópolis;4;285000;148.6;77.8;24.5
94;2015;3;4305108;Caxias do Sul;1;220438;94.1;81.2;20.0
95;2015;3;4314902;Porto Alegre;13;687679;52.9;75.6;24.0
96;2015;3;5002704;Campo Grande;1072;392791;153.8;60.1;21.4
97;2015;3;5103403;Cuiabá;324;279657;320.1;77.8;27.2
98;2015;3;5208707;Goiânia;2287;655531;312.3;75.9;24.1
99;2015;3;5300108;Brasília;1082;1172689;345.5;80.9;21.2
100;2015;4;1100205;Porto Velho;20;203556;406.8;87.2;25.6
101;2015;4;1302603;Manaus;116;738012;165.5;81.8;27.5
102;2015;4;1501402;Belém;160;528989;604.9;88.0;26.7
103;2015;4;2111300;São Luís;427;406974;366.5;87.4;26.8
104;2015;4;2211001;Teresina;906;355470;250.7;80.4;26.7
105;2015;4;2304400;Fortaleza;3972;1034611;296.4;85.0;26.9
